ts;uuid;id_user;gclid;user_recurrent;url_landing;url base;gclid;id user;uuid
2021-09-06 0:13:4.787;2f2757bd-ac81-41b0-9188-aa7e320e3ea0;9ca6ce29-90d1-4cab-b017-4281a1699427;Cj0KCQjw1dGJBhD4ARIsANb6OdnfkWZhSxlOmTpAZFOC7eG3Rb1Jl1K3AybbgAZnZDiTrYY2nt78UMcaAnLBEALw_wcB;false;tria/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkGinPuBStihlgkhxJFsYhruxpKRYVYzct7l8_BJu4CVaX_OMqBkV4aAhdiEALw_wcB&idUser=ca21f8f5-b7ef-42e0-96dc-759d413e36ca&uuid=7d557b7e-802d-430c-8b3b-a99750d3afd6&camp=1648648995&adg=62589383945&device=m&sl=&adv=481025151796&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:15:0.366;7d557b7e-802d-430c-8b3b-a99750d3afd6;ca21f8f5-b7ef-42e0-96dc-759d413e36ca;Cj0KCQjw1dGJBhD4ARIsANb6OdkGinPuBStihlgkhxJFsYhruxpKRYVYzct7l8_BJu4CVaX_OMqBkV4aAhdiEALw_wcB;false;dep30/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnBpJswjqZIFTtzlELLPqkd_vdGQwDMTEAwV_Pl4F7pRTNeBSNWGhwaAqXsEALw_wcB&idUser=e2e49d19-9c98-4e93-9f97-914d94ee5fcf&uuid=00b09614-0453-4a03-bfc0-c53679e873ac&camp=1042446156&adg=63912889335&device=m&sl=&adv=528158594826&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:15:20.859;00b09614-0453-4a03-bfc0-c53679e873ac;e2e49d19-9c98-4e93-9f97-914d94ee5fcf;Cj0KCQjw1dGJBhD4ARIsANb6OdnBpJswjqZIFTtzlELLPqkd_vdGQwDMTEAwV_Pl4F7pRTNeBSNWGhwaAqXsEALw_wcB;false;gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdmLCiiUcneFmLV2bEw8HgVCYLewlrzMnjiEs2GQ4m3ItD8ze41Fo64aAj36EALw_wcB&idUser=a3cdd1ed-3b0f-42b2-97e0-886af6902e2e&uuid=6dbb1eb0-1252-40e0-b5a8-4637bf3dad7b&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:15:53.638;6dbb1eb0-1252-40e0-b5a8-4637bf3dad7b;a3cdd1ed-3b0f-42b2-97e0-886af6902e2e;Cj0KCQjw1dGJBhD4ARIsANb6OdmLCiiUcneFmLV2bEw8HgVCYLewlrzMnjiEs2GQ4m3ItD8ze41Fo64aAj36EALw_wcB;false;tria/gclid=Cj0KCQjw1dGJBhD4ARIsANb6Odk1cK-guZLAAjGpQrgzl9RTzi1IBoJnauFcW9CzPkqEcbX3ocPqSmAaAs4TEALw_wcB&idUser=ca21f8f5-b7ef-42e0-96dc-759d413e36ca&uuid=7d557b7e-802d-430c-8b3b-a99750d3afd6&camp=1648648995&adg=62589383945&device=m&sl=55827747438&adv=481025151796&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:16:11.607;7d557b7e-802d-430c-8b3b-a99750d3afd6;ca21f8f5-b7ef-42e0-96dc-759d413e36ca;Cj0KCQjw1dGJBhD4ARIsANb6Odk1cK-guZLAAjGpQrgzl9RTzi1IBoJnauFcW9CzPkqEcbX3ocPqSmAaAs4TEALw_wcB;true;dep30/gclid=EAIaIQobChMIhsr_gYnp8gIVxQyLCh04MwVEEAAYASAAEgKPB_D_BwE&idUser=215134e8-3170-43dc-8f08-f06438129a9c&uuid=a2bb63f3-d0fe-4e36-be7e-36d052ea7515&camp=1042446156&adg=63912889335&device=m&sl=&adv=528158594826&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:16:49.530;a2bb63f3-d0fe-4e36-be7e-36d052ea7515;215134e8-3170-43dc-8f08-f06438129a9c;EAIaIQobChMIhsr_gYnp8gIVxQyLCh04MwVEEAAYASAAEgKPB_D_BwE;false;dep30/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkRwcdoHBfBc3hx-hbB3GSlK8QGMg-O8YxT6ozDNv6YKTXhUdz9qVEaAmtDEALw_wcB&idUser=88aba0c0-9347-4de1-a15f-0d68e7a35e61&uuid=379b54bf-49ad-4ca3-ab4e-6aa90c9f75b1&camp=1042446156&adg=63912889335&device=m&sl=&adv=528158594826&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:17:55.309;379b54bf-49ad-4ca3-ab4e-6aa90c9f75b1;88aba0c0-9347-4de1-a15f-0d68e7a35e61;Cj0KCQjw1dGJBhD4ARIsANb6OdkRwcdoHBfBc3hx-hbB3GSlK8QGMg-O8YxT6ozDNv6YKTXhUdz9qVEaAmtDEALw_wcB;false;cea-electrico/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnOybGaEifwirS6X8Zxy5JCujXymAC3kOfg_p6ME8KndPLSUcx_GVoaAui_EALw_wcB&idUser=0a606fc4-169d-4077-bc21-663c2414fbbb&uuid=034ed550-e3f1-439a-9b6e-a3ce869a1934&camp=1646744098&adg=58527617970&device=m&sl=&adv=497204330116&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:19:0.903;034ed550-e3f1-439a-9b6e-a3ce869a1934;0a606fc4-169d-4077-bc21-663c2414fbbb;Cj0KCQjw1dGJBhD4ARIsANb6OdnOybGaEifwirS6X8Zxy5JCujXymAC3kOfg_p6ME8KndPLSUcx_GVoaAui_EALw_wcB;false;clin400/gclid=EAIaIQobChMImo6U0Inp8gIVGdZ3Ch0mEQRFEAAYASAAEgJk8fD_BwE&idUser=9b14ef31-901b-4de9-8701-cd26e12b258a&uuid=bbf6c356-16b1-41e4-8645-22e7dbbed674&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734920&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:19:34.472;bbf6c356-16b1-41e4-8645-22e7dbbed674;9b14ef31-901b-4de9-8701-cd26e12b258a;EAIaIQobChMImo6U0Inp8gIVGdZ3Ch0mEQRFEAAYASAAEgJk8fD_BwE;false;gclid=EAIaIQobChMI5b2L1onp8gIVRgKLCh30ug9sEAAYASAAEgLXfPD_BwE&idUser=e55feb88-da64-4eca-abb5-57385ad01853&uuid=579d80ab-9632-435d-8158-a43a2a3b10f6&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:19:41.273;579d80ab-9632-435d-8158-a43a2a3b10f6;e55feb88-da64-4eca-abb5-57385ad01853;EAIaIQobChMI5b2L1onp8gIVRgKLCh30ug9sEAAYASAAEgLXfPD_BwE;true;gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdlEd8BlLsv8awK8Dd1yhLSJCteOOX1vi1GPtmuD59-Yn96pW26OL2gaAvPDEALw_wcB&idUser=a09b5c95-f247-4227-8aba-f8eae300aea0&uuid=dea1435d-b92c-4bd2-9ac5-f4123cbb2399&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&;https://www.metropolis.com/es/;;;
